"ano","sequencial_candidato","nome","uf","partido","quantidade_doacoes","quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_pessoas_fisicas","recursos_de_pessoas_juridicas","recursos_proprios","recursos_de_partido_politico","quantidade_despesas","quantidade_fornecedores","total_despesa","media_despesa","cargo","sexo","grau","estado_civil","ocupacao","votos"
2010,"10000000194","ANTONIA LUCILEIA CRUZ RAMOS CAMARA","AC","PSC",36,35,430291.92,11952.55,269179.61,58450,7526.8,95135.51,0,54,48,381881.55,7071.88,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","EMPRESÁRIO",15849
2010,"10000000195","DEODATO NUNES DE FRANÇA","AC","PMDB",3,3,6990,2330,0,0,5490,1500,0,3,3,6990,2330,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS",4620
2010,"10000000196","EDSON FIRMINO DE PAULA","AC","PSDB",3,3,1840,613.33,290,1500,0,50,0,3,3,1840,613.33,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","OPERADOR DE EQUIPAMENTO DE RÁDIO, TELEVISÃO, SOM E CINEMA",312
2010,"10000000197","ELISABETH APARECIDA GARCIA RODRIGUES","AC","PSDB",1,1,440,440,440,0,0,0,0,1,1,440,440,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO MÉDIO",1357
2010,"10000000198","FLAVIANO FLAVIO BAPTISTA DE MELO","AC","PMDB",15,13,342700,22846.67,0,6100,66200,10900,259500,83,59,232677.64,2803.35,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","DEPUTADO",36301
2010,"10000000199","FRANCISCO ALVES VIEIRA","AC","PPS",5,5,4712.74,942.55,1202.74,2010,0,1500,0,5,5,4702.74,940.55,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS",3378
2010,"10000000200","FRANCISCO CARLOS DE OLIVEIRA DE LIMA","AC","PSDB",2,2,2608,1304,2608,0,0,0,0,4,4,2608,652,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS",3377
2010,"10000000201","FRANCISCO JOSE BENICIO DIAS","AC","PSDB",6,6,3168,528,1180,1988,0,0,0,7,7,3168,452.57,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","DIVORCIADO(A)","REPRESENTANTE COMERCIAL",1082
2010,"10000000202","JOSE ALVES DE MORAES","AC","PSDB",2,2,730,365,730,0,0,0,0,3,3,730,243.33,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","OUTROS",943
2010,"10000000205","MARCIO MIGUEL BITTAR","AC","PSDB",24,24,327662.2,13652.59,0,17400,36562.2,173700,1e+05,118,111,310445.4,2630.89,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PECUARISTA",52183
2010,"10000000206","MARIA DA ROCHA SEVERO","AC","PPS",3,3,2260.74,753.58,1260.74,1000,0,0,0,3,3,2260.74,753.58,"DEPUTADO FEDERAL","FEMININO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","FISCAL",113
2010,"10000000208","MAURICIO DINIZ LIMA","AC","PPS",1,1,709.74,709.74,709.74,0,0,0,0,1,1,709.74,709.74,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","OUTROS",744
2010,"10000000209","MIGUEL ARCANJO DE SOUZA CARNEIRO","AC","PSC",2,2,2650,1325,2200,0,0,450,0,2,2,2650,1325,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","DIGITADOR",567
2010,"10000000211","RAIMUNDO NONATO DE CASTRO","AC","PSDB",5,5,6361.05,1272.21,290,4000,0,2071.05,0,13,9,6340.35,487.72,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",2492
2010,"10000000212","SOLANGE MARIA PINHO PASCOAL","AC","PMN",22,16,45323,2060.14,5085,8487.5,0,4200,27550.5,22,16,43323,1969.23,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","OUTROS",10513
2010,"10000000214","UAGLA BELMONT ALVES","AC","PSC",3,3,7400,2466.67,1200,1200,5000,0,0,6,6,7400,1233.33,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","OUTROS",452
2010,"10000000237","EDILBERTO AFONSO DE MORAES JUNIOR","AC","PR",25,24,215438,8617.52,192938,17000,5500,0,0,25,24,213931.5,8557.26,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","EMPRESÁRIO",149
2010,"10000000239","FERNANDO MELO DA COSTA","AC","PT",33,30,178370.2,5405.16,53371.2,30199,23000,11800,60000,145,129,165870.2,1143.93,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SEPARADO(A) JUDICIALMENTE","DEPUTADO",11018
2010,"10000000241","GEHLEN DINIZ ANDRADE","AC","PRP",14,14,53917.2,3851.23,43917.2,0,0,0,10000,14,14,53917.2,3851.23,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO FEDERAL",2944
2010,"10000000242","GILSON GOMES DE OLIVEIRA","AC","PSDC",13,13,44171.2,3397.78,43371.2,0,0,800,0,15,15,44171.2,2944.75,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS",707
2010,"10000000243","GLADSON DE LIMA CAMELI","AC","PP",86,82,2373076.18,27593.91,0,182200,2068711.51,30164.67,92000,611,433,1695071.01,2774.26,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",32623
2010,"10000000244","HAROLDO ONOFRE DE ANDRADE E SILVA","AC","PTC",13,13,43871.1,3374.7,43371.1,0,0,500,0,14,14,43871.1,3133.65,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BANCÁRIO E ECONOMIÁRIO",526
2010,"10000000245","HENRIQUE AFONSO SOARES LIMA","AC","PV",65,60,244535.84,3762.09,39418.84,146750,0,33367,25000,208,199,235384.04,1131.65,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",20306
2010,"10000000246","IDESIO LUIS FRANKE","AC","PT",58,57,176873.68,3049.55,63371.2,34432.48,23070,1000,55000,102,99,171873.68,1685.04,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL",6481
2010,"10000000247","JAIRO CASSIANO BARBOSA","AC","PDT",18,15,90371.2,5020.62,83371.2,0,7000,0,0,37,27,75771.2,2047.87,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","OUTROS",2405
2010,"10000000249","LEONARDO CUNHA DE BRITO","AC","PT",89,76,401337.6,4509.41,73162.6,85210,115865,11100,116000,161,132,381233.2,2367.91,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO SUPERIOR",13826
2010,"10000000250","MARCOS ANTONIO SILVA TORRES","AC","PV",19,19,63971.94,3366.94,30816.94,155,33000,0,0,52,50,62669.5,1205.18,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL",2147
2010,"10000000251","MARIA PERPETUA DE ALMEIDA","AC","PC do B",54,53,413048.2,7649.04,191631.2,19569.96,21956.4,22890.64,157000,342,311,383568.2,1121.54,"DEPUTADO FEDERAL","FEMININO","SUPERIOR INCOMPLETO","CASADO(A)","DEPUTADO",33235
2010,"10000000252","MARIA ZILA FROTA BEZERRA DE OLIVEIRA","AC","PTB",16,16,70938.45,4433.65,39913.1,15015.35,0,16010,0,30,29,70916.45,2363.88,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","OUTROS",2329
2010,"10000000253","MARIUSA DE CARVALHO","AC","PT",20,17,48811.2,2440.56,43371.2,0,0,5440,0,24,21,48701.2,2029.22,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","TAQUÍGRAFO E ESTENÓGRAFO",156
2010,"10000000255","SEBASTIAO SIBA MACHADO OLIVEIRA","AC","PT",105,98,525793.22,5007.55,53414.2,112850,174848.8,19680.22,165000,376,284,470926.62,1252.46,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","GEÓGRAFO",25158
2010,"10000000256","SIDNEY DIAS DE OLIVEIRA","AC","PRP",19,19,46520.08,2448.43,45114.08,450,456,500,0,20,20,46520.08,2326,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS",1393
2010,"10000000257","TAUMATURGO LIMA CORDEIRO","AC","PT",129,121,505191.2,3916.21,53371.2,151760,211360,48700,40000,162,150,441113.24,2722.92,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",17932
